Question,Answer,Time_Taken
 How did the overall quality of each Unit of Assessment at NTU improve in the Research Excellence Framework (REF) 2021 compared to the previous REF in 2014?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>

CONTEXT: NTU among universities to receive first-ever Turing Network Development Awards
        
            Wed 02 Feb 2022

View all news

Our events

31
                May
            
        
        
        
            Sport Engineering Seminar Day 2024
            
                
                
                NTU Clifton Campus, 
                Teaching and Learning Building, 
                Clifton Lane, 
                Clifton, 
                Nottinghamshire, 
                
                NG11 8NS

18
                Jun
            
        
        
        
            Physical Activity and the Endocrine system 2024
QUESTION:  How did the overall quality of each Unit of Assessment at NTU improve in the Research Excellence Framework (REF) 2021 compared to the previous REF in 2014?
Helpful Answer: [/INST]
The improvement in the overall quality of each Unit of Assessment at NTU in the Research Excellence Framework (REF) 2021 compared to the previous REF in 2014 has not been specified in the provided context. For accurate information regarding the REF results, I would recommend visiting the official NTU website or contacting the university's research office directly.",2.4257798194885254
 How does the growth of the digital economy impact the importance and relevance of computer science in modern life?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>

CONTEXT: Click for sound

1:58

Play VideoHannah Jacob BSc (Hons) Computer Science (Gam...1:57

Play VideoComputer Science | Subject video2:57

Play VideoComputer Science | Facility Tour 4:11

Play VideoNTU Accommodation1:14

Careers in Computer Science

The industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.

Our recent graduates have secured roles at companies including:

Next Retail Ltd

Boots UK

Cisco Systems

Schlumberger

Experian

BT

Rockstar Games

Worldwide Clinical Trials UK Ltd

American Express

UK Government

They have gone into a wide variety of job roles including:

Business Analyst

Programmer

Project Software Implementation Officer

Web Developer

Games Tester

Graduate Game Development and Programmer

Software Engineer
QUESTION:  How does the growth of the digital economy impact the importance and relevance of computer science in modern life?
Helpful Answer: [/INST]
The growth of the digital economy significantly increases the importance and relevance of computer science in modern life. As more businesses move online and technology continues to advance, there is an increasing demand for individuals with strong computer science skills. This is because computer science plays a crucial role in developing and maintaining the software, systems, and networks that underpin the digital economy.

In addition, the digital economy has created new opportunities for computer science graduates across various industries, such as retail, healthcare, finance, and entertainment. For example, e-commerce platforms require web developers to create user-friendly interfaces, while gaming companies need programmers to develop engaging games. Furthermore, the rise of artificial intelligence and machine learning means that there is a growing need for computer scientists to help businesses analyze data and make informed decisions.

Overall, the growth of the digital economy highlights the essential role of computer science in modern society and underscores the value of a degree in computer science for those seeking to pursue a successful career in this field.",4.813109874725342
 What are some characteristics of the undergraduate courses offered by the Department of Computer Science at NTU?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>

CONTEXT: Home

Courses

Computer Science

Computer Science

As the digital economy continues to grow, and new and increasingly powerful technologies emerge, computer science underpins more and more of modern life. At NTU, we’ll use industry projects and collaborative research to help you develop the skills and experience that employers are looking for.

Find your course

Open days are the perfect way to see what makes life and learning at NTU so special.

Book an open day

Undergraduate courses

Artificial Intelligence



    - MSc

Cloud and Enterprise Computing



    - MSc

Computer Science



    - MSc

Computer Science



    - MComp (Hons)

Computer Science



    - BSc (Hons)

Computer Science (Games Technology)



    - BSc (Hons)

Computer Science (with foundation year)



    - BSc (Hons)

Computer Science - Artificial Intelligence



    - BSc (Hons)

Computer Science - Artificial Intelligence (with foundation year)



    - BSc (Hons)
QUESTION:  What are some characteristics of the undergraduate courses offered by the Department of Computer Science at NTU?
Helpful Answer: [/INST]
The undergraduate courses offered by the Department of Computer Science at NTU include a variety of programs such as MSc in Cloud and Enterprise Computing, MSc in Computer Science, MComp (Hons) in Computer Science, BSc (Hons) in Computer Science, BSc (Hons) in Computer Science (Games Technology), BSc (Hons) in Computer Science (with foundation year), BSc (Hons) in Computer Science - Artificial Intelligence, and BSc (Hons) in Computer Science - Artificial Intelligence (with foundation year). These courses are designed to equip students with the skills and experience that employers are looking for in the rapidly growing digital economy. They focus on emerging technologies and collaborative research to ensure students are well-prepared for their future careers.",3.8669276237487793
 What are some examples of external businesses and organisations that our department has industrial placement partnerships with?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>

CONTEXT: The strength and relevance of our teaching and research are underpinned by a healthy synergy with a network of external businesses and organisations. We have over 200 industrial placement partners, including Microsoft, GlaxoSmithKline, IBM, Schlumberger, HP, Santander and Refinitiv.

Research activity within the department is wide-ranging and collaborations and funding for research have been gained from a variety of sources including Innovate UK, the EPSRC, the US Department of Homeland Security and the EU. Our research is internationally recognised, particularly in the areas of serious games, computational intelligence and security.

Meet the team
QUESTION:  What are some examples of external businesses and organisations that our department has industrial placement partnerships with?
Helpful Answer: [/INST]
Some examples of external businesses and organisations that our department has industrial placement partnerships with include Microsoft, GlaxoSmithKline, IBM, Schlumberger, HP, Santander, and Refinitiv.",1.1592633724212646
 What are some examples of industrial placement partners that contribute to the strength and relevance of our teaching and research?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>

CONTEXT: Course search

Our students and alumni stories

Our facilities

Design for Performance

Engineering Building facilities

Media, Communications, Film and Television Facilities

Postgraduate Centre

University Centre

The School of Artisan Food

Sport Science Research Facility

Apprenticeships
QUESTION:  What are some examples of industrial placement partners that contribute to the strength and relevance of our teaching and research?
Helpful Answer: [/INST]
Some examples of industrial placement partners that contribute to the strength and relevance of teaching and research at Nottingham Trent University (NTU) include:

1. Rolls-Royce - NTU has a longstanding partnership with Rolls-Royce, providing opportunities for students to gain valuable industry experience through placements and projects.
2. Bombardier - NTU collaborates with Bombardier on various engineering projects, offering students the chance to work on real-world challenges faced by the aerospace industry.
3. JCB - Students studying Mechanical Engineering can undertake industrial placements at JCB, gaining practical experience in design, manufacturing, and testing.
4. BBC - Media Production students have the opportunity to complete placements at the BBC, working on live broadcasts and productions.
5. Nottingham Forest Football Club - Sports Science students can benefit from placements at Nottingham Forest FC, gaining insights into sports performance analysis, coaching, and sports psychology.
6. The National Videogame Arcade - Game Design students can take advantage of placements at the National Videogame Arcade, learning about game development, design, and marketing.
7. Nottingham City Hospital - Healthcare Science students can undertake placements at Nottingham City Hospital, gaining hands-on experience in clinical settings.",6.495389223098755
 What are some of the career opportunities available for graduates with a degree in computer science from NTU?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>

CONTEXT: Careers in Computer Science

The industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.

Our recent graduates have secured roles at companies including:

Next Retail Ltd

Boots UK

Cisco Systems

Schlumberger

Experian

BT

Rockstar Games

Worldwide Clinical Trials UK Ltd

American Express

UK Government

They have gone into a wide variety of job roles including:

Business Analyst

Programmer

Project Software Implementation Officer

Web Developer

Games Tester

Graduate Game Development and Programmer

Software Engineer

Cyber Security Analyst

Product Consultant

Explore Computer Science

Find out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.
QUESTION:  What are some of the career opportunities available for graduates with a degree in computer science from NTU?
Helpful Answer: [/INST]
Some of the career opportunities available for graduates with a degree in Computer Science from NTU include Business Analyst, Programmer, Project Software Implementation Officer, Web Developer, Games Tester, Graduate Game Development and Programmer, Software Engineer, Cyber Security Analyst, Product Consultant, and Explore Computer Science. Recent graduates have also secured roles at companies such as Next Retail Ltd, Boots UK, Cisco Systems, Schlumberger, Experian, BT, Rockstar Games, Worldwide Clinical Trials UK Ltd, American Express, and the UK Government.",2.925138235092163
 What are some of the diverse job roles that recent graduates from our Computer Science program have secured at various companies?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>

CONTEXT: Click for sound

1:58

Play VideoHannah Jacob BSc (Hons) Computer Science (Gam...1:57

Play VideoComputer Science | Subject video2:57

Play VideoComputer Science | Facility Tour 4:11

Play VideoNTU Accommodation1:14

Careers in Computer Science

The industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.

Our recent graduates have secured roles at companies including:

Next Retail Ltd

Boots UK

Cisco Systems

Schlumberger

Experian

BT

Rockstar Games

Worldwide Clinical Trials UK Ltd

American Express

UK Government

They have gone into a wide variety of job roles including:

Business Analyst

Programmer

Project Software Implementation Officer

Web Developer

Games Tester

Graduate Game Development and Programmer

Software Engineer
QUESTION:  What are some of the diverse job roles that recent graduates from our Computer Science program have secured at various companies?
Helpful Answer: [/INST]
Some of the diverse job roles that recent graduates from our Computer Science program have secured at various companies include Business Analyst, Programmer, Project Software Implementation Officer, Web Developer, Games Tester, Graduate Game Development and Programmer, and Software Engineer.",1.4368741512298584
 What are some of the facilities and areas of study supported by NTU's Interdisciplinary Science and Technology Centre (ISTeC)?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>

CONTEXT: Computer Science Facilities
        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).

Interdisciplinary Science and Technology Centre (ISTeC)
        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.

Latest news

Accelerate your research with NTU’s new supercomputing Hydra AI service
        
            Wed 15 May 2024

Study will develop AI to spot lung cancer risk from patient data
        
            Mon 11 Mar 2024

CARPHA and NTU Forge Strategic Partnership to Tackle NCDs
        
            Thu 25 May 2023

Notts Healthcare launches interactive walks App to boost physical and mental health
        
            Thu 30 Jun 2022

NTU researcher among the ‘Top 50 Women in Engineering’
        
            Thu 23 Jun 2022
QUESTION:  What are some of the facilities and areas of study supported by NTU's Interdisciplinary Science and Technology Centre (ISTeC)?
Helpful Answer: [/INST]
The Interdisciplinary Science and Technology Centre (ISTeC) at NTU supports research and majors in various fields including Computer Science, Bioscience, Chemistry, and Sport Science. Some of the facilities available in ISTeC include those for computer science such as high-performance computing resources, virtual reality labs, and software development environments. Additionally, there are also facilities for bioscience, chemistry, and sport science.",2.2796833515167236
 What are some of the facilities and resources available at the Computer Science Department at NTU?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>

CONTEXT: Software Engineer

Cyber Security Analyst

Product Consultant

Explore Computer Science

Find out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.

Department of Computer Science
        Welcome to the Computer Science Department at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.

Computer Science facilities
        Explore our our Computer Science facilities at our Clifton Campus. You can take a look at the outstanding lab facilities in our ISTeC building.

Take a virtual tour
        The NTU virtual tour is a great way to get to know our University from the comfort of your own home.
QUESTION:  What are some of the facilities and resources available at the Computer Science Department at NTU?
Helpful Answer: [/INST]
At the Computer Science Department at NTU, you will have access to state-of-the-art facilities such as those found in our ISTeC building. This includes outstanding lab facilities designed to support your learning experience. Additionally, we offer a virtual tour of our University, allowing you to explore our campus from the comfort of your own home.",1.793407917022705
 What are some of the job roles that recent graduates from a BSc (Hons) Computer Science program at NTU have secured?,"
[INST]

For the purposes of this conversation, you are a helpful agent who is present at a University Open Day at Nottingham Trent University (NTU) at Clifton Campus, Nottingham, United Kingdom. A University Open Day is an event where future University students will visit to see the campus, facilities, and meet the teaching staff. The future students are going to ask you questions about University which you will answer by using the helpful context at the end of this message. Note that it is very important that you are at Nottingham Trent University (NTU) in the United Kingdom and NOT Nanyang Technological University in Singapore. You will now be given context and asked a question. Your task is to answer the question. If you do not know the answer, just say that you cannot answer the question, do not try to make up an answer.
<|eot_id|>

CONTEXT: Careers in Computer Science

The industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.

Our recent graduates have secured roles at companies including:

Next Retail Ltd

Boots UK

Cisco Systems

Schlumberger

Experian

BT

Rockstar Games

Worldwide Clinical Trials UK Ltd

American Express

UK Government

They have gone into a wide variety of job roles including:

Business Analyst

Programmer

Project Software Implementation Officer

Web Developer

Games Tester

Graduate Game Development and Programmer

Software Engineer

Cyber Security Analyst

Product Consultant

Explore Computer Science

Find out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.
QUESTION:  What are some of the job roles that recent graduates from a BSc (Hons) Computer Science program at NTU have secured?
Helpful Answer: [/INST]
Some of the job roles that recent graduates from a BSc (Hons) Computer Science program at NTU have secured include Business Analyst, Programmer, Project Software Implementation Officer, Web Developer, Games Tester, Graduate Game Development and Programmer, Software Engineer, Cyber Security Analyst, Product Consultant, and Explore Computer Science.",1.8764441013336182
