question,contexts,ground_truth,evolution_type,metadata,episode_done
"What types of facilities are typically found within a Computer Science department to support research and education?

(Note: The given context is incomplete, but the question has been formulated based on the provided keyphrase.)",['Also in\n\nComputer Science\n\nComputer Science facilities'],"Typically, a Computer Science department would have various facilities to support research and education including computer labs with up-to-date hardware and software, lecture halls for teaching large groups of students, libraries stocked with relevant literature, as well as specialized equipment like servers, supercomputers, or lab spaces equipped for specific types of computing research such as machine learning, data analysis, or network security.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
"What is the significance of Nottingham Trent University in hosting events related to physical activity, engineering, and scientific research?","['23\n                May\n            \n        \n        \n        \n            Open Dome IN PERSON - Crackle and Pop - Northern Lights Everywhere\n            \n                LT 4, \n                \n                Nottingham Trent University, \n                Clifton Campus, \n                Clifton, \n                Nottingham, \n                \n                United Kingdom,\n\n31\n                May\n            \n        \n        \n        \n            Sport Engineering Seminar Day 2024\n            \n                \n                \n                NTU Clifton Campus, \n                Teaching and Learning Building, \n                Clifton Lane, \n                Clifton, \n                Nottinghamshire, \n                \n                NG11 8NS\n\n18\n                Jun\n            \n        \n        \n        \n            Physical Activity and the Endocrine system 2024']",nan,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
"What are the academic pathways available for someone interested in pursuing a career in Cyber Security, including both undergraduate and postgraduate options?",['- BSc (Hons)\n\nComputer Science - Games Technology (with foundation year)\n\n\n\n    - BSc (Hons)\n\nComputer Science and Mathematics\n\n\n\n    - BSc (Hons)\n\nComputer Science and Mathematics (with foundation year)\n\n\n\n    - BSc (Hons)\n\nComputing\n\n\n\n    - BSc (Hons)\n\nComputing (with foundation year)\n\n\n\n    - BSc (Hons)\n\nCyber Security\n\n\n\n    - MSc\n\nCyber Security\n\n\n\n    - BSc (Hons)\n\nCyber Security (with foundation year)\n\n\n\n    - BSc (Hons)\n\nData Science\n\n\n\n    - MSc\n\nData Science\n\n\n\n    - BSc (Hons)\n\nData Science (with foundation year)\n\n\n\n    - BSc (Hons)\n\nDigital and Technology Solutions Professional (Software Engineering) Level 6 Degree Apprenticeship\n\n\n\n    - BSc (Hons)\n\nData Scientist Level 6 Degree Apprenticeship\n\n\n\n    - BSc (Hons)\n\nMathematics with Data Science\n\n\n\n    - BSc (Hons)\n\nMathematics with Data Science (with foundation year)\n\n\n\n    - BSc (Hons)\n\nSoftware Engineering\n\n\n\n    - MSc\n\nSoftware Engineering\n\n\n\n    - BSc (Hons)\n\nSoftware Engineering (with foundation year)'],nan,simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
"What percentage of NTU's research impact was assessed as world-leading or internationally excellent in the latest Research Excellence Framework (REF) 2021, and how did this compare to the previous REF assessment?","[""Cyber Security Research Group (CSRG)\n        The cyber security research group (CSRG) is a dynamic team of seasoned professionals dedicated to researching and implementing effective solutions to safeguard against cyber threats.\n\nResearch Excellence Framework (REF) 2021\n\nIn the latest Research Excellence Framework (REF) 2021, 86% of NTU's research impact was assessed to be either world-leading or internationally excellent. The overall quality of each Unit of Assessment NTU submitted to REF in 2021 also saw an improvement from the previous REF in 2014.\n\nFind out more about REF 2021\n\nFind out more about our research\n\nOur facilities\n\nWith over £8 million invested, our computer science students will study in facilities designed to very high specifications with a variety of electronic and communication laboratories.""]","In the latest Research Excellence Framework (REF) 2021, 86% of NTU's research impact was assessed as either world-leading or internationally excellent. This represents an improvement from the previous REF assessment in 2014.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
What are some of the key areas of study and research supported by ISTeC's Computer Science facilities?,"['Computer Science Facilities\n        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).\n\nInterdisciplinary Science and Technology Centre (ISTeC)\n        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.\n\nLatest news\n\nAccelerate your research with NTU’s new supercomputing Hydra AI service\n        \n            Wed 15 May 2024\n\nStudy will develop AI to spot lung cancer risk from patient data\n        \n            Mon 11 Mar 2024\n\nCARPHA and NTU Forge Strategic Partnership to Tackle NCDs\n        \n            Thu 25 May 2023\n\nNotts Healthcare launches interactive walks App to boost physical and mental health\n        \n            Thu 30 Jun 2022\n\nNTU researcher among the ‘Top 50 Women in Engineering’\n        \n            Thu 23 Jun 2022']","ISTeC supports a range of studies and research in various fields including Computer Science, Bioscience, Chemistry, and Sport Science. While specific details about the key areas within Computer Science are not provided in the context, it is implied that ISTeC's facilities cater to diverse aspects of this discipline.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
"question: ""How does NTU's computer science curriculum prepare students to develop the skills and experience that employers are looking for in the growing digital economy?","['Home\n\nCourses\n\nComputer Science\n\nComputer Science\n\nAs the digital economy continues to grow, and new and increasingly powerful technologies emerge, computer science underpins more and more of modern life. At NTU, we’ll use industry projects and collaborative research to help you develop the skills and experience that employers are looking for.\n\nFind your course\n\nOpen days are the perfect way to see what makes life and learning at NTU so special.\n\nBook an open day\n\nUndergraduate courses\n\nArtificial Intelligence\n\n\n\n    - MSc\n\nCloud and Enterprise Computing\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MComp (Hons)\n\nComputer Science\n\n\n\n    - BSc (Hons)\n\nComputer Science (Games Technology)\n\n\n\n    - BSc (Hons)\n\nComputer Science (with foundation year)\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence (with foundation year)\n\n\n\n    - BSc (Hons)']","NTU's Computer Science curriculum prepares students by using industry projects and collaborative research, which helps them acquire practical skills and experiences sought after by employers. This approach ensures that graduates are well-equipped to contribute effectively in the digital economy.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
"What areas of research does the Computational Intelligence and Applications Research Group focus on, and how do they contribute to advancements in computational intelligence applications?","['Centre for Computer Science and Informatics (CIRC)\n        Harnessing enabling technologies ranging from machine learning, AI, and advanced display technologies, to intelligent sensors and robotics to drive advances for individuals and society.\n\nResearch groups\n\nInteractive Systems Research Group (ISRG)\n        The Interactive Systems Research Group focuses on the development of new technologies for the cognitive and physical rehabilitation of users within the real world.\n\nComputational Intelligence and Applications Research Group (CIA)\n        This research group brings together academics researching in the areas of computational intelligence applications.\n\nCognitive Computing and Brain Informatics Research Group (CCBI) \n        This research group is centred around brain research, mainly brain computer interfacing (BCI) including EEG hyper scanning, and body sensor networking (BCI).']","The Computational Intelligence and Applications Research Group focuses on researching computational intelligence applications. They contribute to advancements in this field by bringing together academics who are dedicated to exploring various areas within computational intelligence, which can lead to the development of innovative technologies and solutions that enhance computing capabilities.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
What are some of the state-of-the-art facilities available at NTU's Clifton Campus for students studying Computer Science?,"[""- BSc (Hons)\n\nAbout Computer Science\n\nFrom artificial intelligence to game technology, our courses span the whole spectrum of computer science.\n\nYou’ll study in state-of-the-art facilities at our Clifton Campus, which includes a robot arena, games consoles, networking and security, and human-interactive technology labs. It’s a self-contained campus with all the mod cons and equipment you might need.\n\nYou can count on the support of industry veterans from across the sector – from Fujitsu Systems to the US Department of Homeland Security. You can apply your learning to work placements, live industry briefs and research projects, as you gain real-world experience and enhance your career prospects in computing.\n\nLearn more about Computer Science at NTU\n\nDiscover the inspiring story behind Hannah's decision to pursue Computer Science at NTU. Look through other videos for an insightful tour of our facilities and get a glimpse into the enriching academic journey that awaits you.""]","Some of the state-of-the-art facilities available at NTU's Clifton Campus for students studying Computer Science include a robot arena, games consoles, networking and security equipment, and human-interactive technology labs. The campus is self-contained with all necessary modern amenities.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
What is the purpose of offering a virtual tour at NTU's Computer Science Department?,['Department of Computer Science\n        Welcome to the Computer Science Department at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nComputer Science facilities\n        Explore our our Computer Science facilities at our Clifton Campus. You can take a look at the outstanding lab facilities in our ISTeC building.\n\nTake a virtual tour\n        The NTU virtual tour is a great way to get to know our University from the comfort of your own home.\n\nSupporting your success\n        What makes life and learning at NTU so special? Discover just a few of the benefits and free services designed to enhance your student experience.\n\nSearch for a specific course\n\nOrder a prospectus\n\nBook an open day\n\nLearn about life in Nottingham\n\nChat to students or staff\n\nAlso in'],"The purpose of offering a virtual tour at NTU's Computer Science Department is likely to allow prospective students and others interested in the department to explore its facilities, programs, and environment from the comfort of their own home. This can help them get a better understanding of what studying there would be like and assist them in making informed decisions about whether it aligns with their academic and career goals.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",True
What is the significance of NTU's recognition with the Turing Network Development Awards in relation to its digital technology solutions?,"['NTU among universities to receive first-ever Turing Network Development Awards\n        \n            Wed 02 Feb 2022\n\nView all news\n\nOur events\n\n23\n                May\n            \n        \n        \n        \n            Open Dome VIRTUAL - Crackle and Pop - Northern Lights Everywhere\n            \n                LT4, \n                \n                Nottingham Trent University, \n                Clifton Campus, \n                Clifton,\n\n23\n                May\n            \n        \n        \n        \n            Level 6 Digital Technology Solutions Professional and Level 6 Data Scientist Apprenticeships Online Briefing - 23 May 2024\n            \n                \n                MS Teams Online Session,']",nan,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",True
