question,contexts,ground_truth,evolution_type,metadata,episode_done
 What types of state-of-the-art facilities can students expect to find at NTU's Clifton Campus for their Computer Science studies?,"[""- BSc (Hons)\n\nAbout Computer Science\n\nFrom artificial intelligence to game technology, our courses span the whole spectrum of computer science.\n\nYou’ll study in state-of-the-art facilities at our Clifton Campus, which includes a robot arena, games consoles, networking and security, and human-interactive technology labs. It’s a self-contained campus with all the mod cons and equipment you might need.\n\nYou can count on the support of industry veterans from across the sector – from Fujitsu Systems to the US Department of Homeland Security. You can apply your learning to work placements, live industry briefs and research projects, as you gain real-world experience and enhance your career prospects in computing.\n\nLearn more about Computer Science at NTU\n\nDiscover the inspiring story behind Hannah's decision to pursue Computer Science at NTU. Look through other videos for an insightful tour of our facilities and get a glimpse into the enriching academic journey that awaits you.""]","Students studying Computer Science at NTU's Clifton Campus can expect to find a variety of state-of-the-art facilities, including a robot arena, games consoles, networking and security labs, as well as human-interactive technology labs. The campus is self-contained with all the necessary mod cons and equipment.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
 What was the overall quality improvement of NTU's research submissions to the Research Excellence Framework (REF) in 2021 compared to the previous REF in 2014?,"[""Cyber Security Research Group (CSRG)\n        The cyber security research group (CSRG) is a dynamic team of seasoned professionals dedicated to researching and implementing effective solutions to safeguard against cyber threats.\n\nResearch Excellence Framework (REF) 2021\n\nIn the latest Research Excellence Framework (REF) 2021, 86% of NTU's research impact was assessed to be either world-leading or internationally excellent. The overall quality of each Unit of Assessment NTU submitted to REF in 2021 also saw an improvement from the previous REF in 2014.\n\nFind out more about REF 2021\n\nFind out more about our research\n\nOur facilities\n\nWith over £8 million invested, our computer science students will study in facilities designed to very high specifications with a variety of electronic and communication laboratories.""]",The overall quality of each Unit of Assessment at NTU submitted to REF in 2021 saw an improvement from the previous REF in 2014.,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",TRUE
 What is the role of NTU's Interdisciplinary Science and Technology Centre (ISTeC) in supporting research and majors in Computer Science?,"['Computer Science Facilities\n        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).\n\nInterdisciplinary Science and Technology Centre (ISTeC)\n        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.\n\nLatest news\n\nAccelerate your research with NTU’s new supercomputing Hydra AI service\n        \n            Wed 15 May 2024\n\nStudy will develop AI to spot lung cancer risk from patient data\n        \n            Mon 11 Mar 2024\n\nCARPHA and NTU Forge Strategic Partnership to Tackle NCDs\n        \n            Thu 25 May 2023\n\nNotts Healthcare launches interactive walks App to boost physical and mental health\n        \n            Thu 30 Jun 2022\n\nNTU researcher among the ‘Top 50 Women in Engineering’\n        \n            Thu 23 Jun 2022']","The Interdisciplinary Science and Technology Centre (ISTeC) at NTU supports research and majors in Computer Science by providing a cutting-edge facility that is part of its overall mission to support various fields including Computer Science, Bioscience, Chemistry, and Sport Science.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",TRUE
 What are the roles and responsibilities held by Joanna Hartley within the Computer Science department?,['Meet the team\n\nAhmad Lotfi\n        \t                \n                                                                                                Professor and Head of Department\n                                                                                        \n                                                                                                                                                                                        \n                                                                                                Computer Science\n\nJoanna Hartley\n            \n            \n                \n                Deputy Head of Department\n                \n            \n            \n              \n                \n                    \n                \n            \n            \n                        \n                \n                Computer Science'],Joanna Hartley holds the role of Deputy Head of Department in the Computer Science department.,simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",TRUE
 What is the role of the Interdisciplinary Science and Technology Centre (ISTeC) at NTU in supporting research and majors across various fields?,"['Computer Science Facilities\n        Find out about our impressive range of Computer Science facilities available in the Interdisciplinary Science and Technology Centre (ISTeC).\n\nInterdisciplinary Science and Technology Centre (ISTeC)\n        ISTeC is a cutting-edge 13 million facility at NTU, supporting research and majors in Computer Science, Bioscience, Chemistry, and Sport Science.\n\nLatest news\n\nAccelerate your research with NTU’s new supercomputing Hydra AI service\n        \n            Wed 15 May 2024\n\nStudy will develop AI to spot lung cancer risk from patient data\n        \n            Mon 11 Mar 2024\n\nCARPHA and NTU Forge Strategic Partnership to Tackle NCDs\n        \n            Thu 25 May 2023\n\nNotts Healthcare launches interactive walks App to boost physical and mental health\n        \n            Thu 30 Jun 2022\n\nNTU researcher among the ‘Top 50 Women in Engineering’\n        \n            Thu 23 Jun 2022']","The Interdisciplinary Science and Technology Centre (ISTeC) at NTU plays a significant role in supporting research and majors across various fields, including Computer Science, Bioscience, Chemistry, and Sport Science. It is a cutting-edge facility with an investment of 13 million, providing resources for interdisciplinary studies and advancements.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",TRUE
" What is the nature of postgraduate courses offered by the Department of Computer Science at NTU, and how do they prepare students for their chosen fields?","['Home\n\nStudy\n\nAcademic Schools\n\nScience and Technology\n\nDepartment of Computer Science\n\nDepartment of Computer Science\n\nWelcome to the Department of Computer Science at NTU. The department combines internationally significant research with an outstanding record for teaching excellence. Our state-of-the-art facilities and career-focused approach to course design provide the right conditions for students to succeed in their chosen fields.\n\nOur undergraduate and postgraduate courses are designed to be industrially relevant with the right balance of theory and practice. The British Computing Society (BCS) have accredited all of our undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council. We are a thriving department combining expertise with modern facilities and equipment to create an outstanding environment for learning and development.']","The postgraduate courses offered by the Department of Computer Science at NTU are designed to be industrially relevant with a balance of theory and practice. They provide an outstanding environment for learning and development, combining expertise with modern facilities and equipment. The British Computing Society (BCS) has accredited all undergraduate degrees to Chartered IT Professional (CITP) status, and towards Chartered Engineer (CEng) status with the Engineering Council, which also reflects on the postgraduate courses.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",TRUE
 What are the various departments and programs offered under Academic Schools in Nottingham?,"['Academic Schools\n\nAnimal, Rural and Environmental Sciences\n\nArchitecture, Design and the Built Environment\n\nNottingham School of Art & Design\n\nArts and Humanities\n\nNottingham Business School\n\nNottingham Law School\n\nScience and Technology\n\nDepartment of Biosciences\n\nDepartment of Chemistry\n\nDepartment of Computer Science\n\nDepartment of Engineering\n\nDepartment of Forensic Science\n\nDepartment of Mathematics\n\nDepartment of Physics\n\nDepartment of Sport Science\n\nLeadership Team - Science and Technology\n\nForensic Science Short Courses\n\nView leadership team\n\nView all staff\n\nView all news\n\nSearch our research\n\nOpportunities\n\nThe John van Geest Cancer Research Centre\n\nPhysics and Mathematics Scholarship Group\n\nSocial Sciences\n\nNTU in Mansfield\n\nView all NLS staff\n\nView all NLS News\n\nView all NLS events\n\nNLS Leadership Team\n\nNLS Legal']","Under Academic Schools in Nottingham, various departments and programs are offered including Animal, Rural and Environmental Sciences; Architecture, Design and the Built Environment; Arts and Humanities; Business; Law; Science and Technology with a Leadership Team - Science and Technology; Forensic Science Short Courses; Department of Biosciences; Department of Chemistry; Department of Computer Science; Department of Engineering; Department of Forensic Science; Department of Mathematics; Department of Physics; Department of Sport Science. Additionally, there is the John van Geest Cancer Research Centre and opportunities such as the Physics and Mathematics Scholarship Group, Social Sciences, NTU in Mansfield, and various staff, news, events, and legal services.",simple,"[{'source': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science', 'title': 'Department of Computer Science | Nottingham Trent University', 'description': 'Digital experts are at the core of modern society. Meet Nottingham Trent University’s Department of Computer Science.', 'language': 'en', 'filename': 'https://www.ntu.ac.uk/study-and-courses/academic-schools/science-and-technology/Computer-Science'}]",TRUE
 What opportunities does a BSc (Hons) in Computer Science at NTU offer for students to gain real-world experience and enhance their career prospects?,"[""- BSc (Hons)\n\nAbout Computer Science\n\nFrom artificial intelligence to game technology, our courses span the whole spectrum of computer science.\n\nYou’ll study in state-of-the-art facilities at our Clifton Campus, which includes a robot arena, games consoles, networking and security, and human-interactive technology labs. It’s a self-contained campus with all the mod cons and equipment you might need.\n\nYou can count on the support of industry veterans from across the sector – from Fujitsu Systems to the US Department of Homeland Security. You can apply your learning to work placements, live industry briefs and research projects, as you gain real-world experience and enhance your career prospects in computing.\n\nLearn more about Computer Science at NTU\n\nDiscover the inspiring story behind Hannah's decision to pursue Computer Science at NTU. Look through other videos for an insightful tour of our facilities and get a glimpse into the enriching academic journey that awaits you.""]","A BSc (Hons) in Computer Science at NTU offers various opportunities for students to gain real-world experience and enhance their career prospects. These include work placements, live industry briefings, and research projects. Students can also benefit from the support of industry veterans across sectors such as Fujitsu Systems and the US Department of Homeland Security.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
 What are the different undergraduate and postgraduate computer science courses offered at NTU?,"['Home\n\nCourses\n\nComputer Science\n\nComputer Science\n\nAs the digital economy continues to grow, and new and increasingly powerful technologies emerge, computer science underpins more and more of modern life. At NTU, we’ll use industry projects and collaborative research to help you develop the skills and experience that employers are looking for.\n\nFind your course\n\nOpen days are the perfect way to see what makes life and learning at NTU so special.\n\nBook an open day\n\nUndergraduate courses\n\nArtificial Intelligence\n\n\n\n    - MSc\n\nCloud and Enterprise Computing\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MSc\n\nComputer Science\n\n\n\n    - MComp (Hons)\n\nComputer Science\n\n\n\n    - BSc (Hons)\n\nComputer Science (Games Technology)\n\n\n\n    - BSc (Hons)\n\nComputer Science (with foundation year)\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence\n\n\n\n    - BSc (Hons)\n\nComputer Science - Artificial Intelligence (with foundation year)\n\n\n\n    - BSc (Hons)']","NTU offers various undergraduate and postgraduate computer science courses, including MSc in Cloud and Enterprise Computing, MComp (Hons) Computer Science, BSc (Hons) Computer Science with a focus on Games Technology, BSc (Hons) Computer Science, BSc (Hons) Computer Science - Artificial Intelligence, and BSc (Hons) Computer Science - Artificial Intelligence with foundation year.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
 What is the benefit of a hands-on teaching approach in computer science courses?,"[""Careers in Computer Science\n\nThe industry-focused nature of our courses ensures you stand out from the crowd when it comes to job applications and pursuing your future career. Our graduates are widely respected amongst employers and are perceived as having a competitive edge due to the hands-on approach of our teaching.\n\nOur recent graduates have secured roles at companies including:\n\nNext Retail Ltd\n\nBoots UK\n\nCisco Systems\n\nSchlumberger\n\nExperian\n\nBT\n\nRockstar Games\n\nWorldwide Clinical Trials UK Ltd\n\nAmerican Express\n\nUK Government\n\nThey have gone into a wide variety of job roles including:\n\nBusiness Analyst\n\nProgrammer\n\nProject Software Implementation Officer\n\nWeb Developer\n\nGames Tester\n\nGraduate Game Development and Programmer\n\nSoftware Engineer\n\nCyber Security Analyst\n\nProduct Consultant\n\nExplore Computer Science\n\nFind out about the facilities you'll have access to on your course and the benefits and support you'll receive as an NTU student.""]","A hands-on teaching approach in computer science courses provides numerous benefits, including equipping students with practical skills and experience that make them stand out to employers. This method allows graduates to be perceived as having a competitive edge due to their ability to apply theoretical knowledge effectively in real-world scenarios.",simple,"[{'source': 'https://www.ntu.ac.uk/course/computer-science', 'title': 'Computer Science | Nottingham Trent University', 'description': ""Pursue your passion for computer science. You'll get involved in industry projects and  research to develop skills and experience employers are looking for."", 'language': 'en', 'filename': 'https://www.ntu.ac.uk/course/computer-science'}]",TRUE
